BLOCKCHAIN,TOKEN_NAME,TOKEN_SYMBOL,TOKEN_ADDRESS,TOKEN_DECIMALS,INS_TIME
klay-token,crypto-lemon,LEMN,0xc8a5c66d63408406c12f1a94608d28a5319f2399,18,2024-01-10T08:02:59.022Z
klay-token,spowars,SOW,0xa044ada9a8fc5e0f68ea155bd430172363d37ecb,18,2024-01-10T08:02:59.022Z
klay-token,galaxia,GXA,0xa80e96cceb1419f9bd9f1c67f7978f51b534a11b,18,2024-01-10T08:02:59.022Z
klay-token,candy-token,CANDY,0xc97989d712d0a3a82b712ae58c7154cd51678de9,18,2024-01-10T08:02:59.022Z
klay-token,treecle,TRCL,0x4b91c67a89d4c4b2a4ed9fcde6130d7495330972,18,2024-01-10T08:02:59.022Z
klay-token,orbit-bridge-klaytn-belt,OBELT,0xdfe180e288158231ffa5faf183eca3301344a51f,18,2024-01-10T08:02:59.022Z
klay-token,neopin,NPT,0xe06597d02a2c3aa7a9708de2cfa587b128bd3815,18,2024-01-10T08:02:59.022Z
klay-token,cloudbric,CLBK,0xdfb25178d7b59e33f7805c00c4a354ae1c46139a,18,2024-01-10T08:02:59.022Z
klay-token,mineral,MNR,0x27dcd181459bcddc63c37bab1e404a313c0dfd79,6,2024-01-10T08:02:59.022Z
klay-token,kleva,KLEVA,0x5fff3a6c16c2208103f318f4713d4d90601a7313,18,2024-01-10T08:02:59.022Z
klay-token,claimswap,CLA,0xcf87f94fd8f6b6f0b479771f10df672f99eada63,18,2024-01-10T08:02:59.022Z
klay-token,payment-swap-utility-board,PSUB,0x19c0d5ddcf06f282e7a547d25ab09fe5a7984aae,18,2024-01-10T08:02:59.022Z
klay-token,observer,OBSR,0x3cb6be2fc6677a63cb52b07aed523f93f5a06cb4,8,2024-01-10T08:02:59.022Z
klay-token,asan-verse,ASAN,0x27b33131a0b02879d63830292931281b1b83000f,18,2024-01-10T08:02:59.022Z
klay-token,empower,MPWR,0xad27ace6f0f6cef2c192a3c8f0f3fa2611154eb3,18,2024-01-10T08:02:59.022Z
klay-token,klaytn-dai,KDAI,0x5c74070fdea071359b86082bd9f9b3deaafbe32b,18,2024-01-10T08:02:59.022Z
klay-token,meta-dance,MDT,0x1b26a7e4d27ace6ba3bc82d5d1b26fb2d8616de0,18,2024-01-10T08:02:59.022Z
klay-token,somesing-exchange,SSX,0xdcd62c57182e780e23d2313c4782709da85b9d6c,18,2024-01-10T08:02:59.022Z
klay-token,gram-token,GRAM,0x02518a2a6af8133b59f69a8c162f112f76bb0d96,18,2024-01-10T08:02:59.022Z
